stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
110,ACME,Acme,Rush Springs,4,WNW,Grady,34.80833,-98.02325,397,Central,STANDARD,0.02,0.432,0.495,1.35,1.27,0,73,19.7,7.2,Sandy loam,-999,-999,-999,-999,0.037,0.425,0.348,1.35,1.33,0,60.3,23.9,15.7,Sandy loam,0.055,0.365,0.342,1.32,1.6,0,52.5,25.9,21.5,Sandy clay loam,0.054,0.351,0.313,1.29,1.68,0,53.2,24.1,22.8,Sandy clay loam,19940101,20991231
24,CHAN,Chandler,Sparks,3,NNE,Lincoln,35.65282,-96.80407,291,Central,STANDARD,0.025,0.38,0.402,1.37,1.5,0,75.5,15.7,8.8,Sandy loam,-999,-999,-999,-999,0.042,0.345,0.177,1.3,1.72,0,57.9,17.7,24.5,Sandy clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
27,CHIC,Chickasha,Chickasha,2,SSE,Grady,35.03236,-97.91446,328,Central,STANDARD,0.062,0.484,0.07,1.48,1.16,0,10.8,53.9,35.3,Silty clay loam,-999,-999,-999,-999,0.079,0.428,0.259,1.28,1.43,0,8.9,56.5,34.6,Silty clay loam,0.09,0.431,0.289,1.23,1.49,0,5.8,51.6,42.6,Silty clay,0.085,0.398,0.366,1.14,1.69,0,3.9,46.1,50,Silty clay,19940101,20991231
34,ELRE,El Reno,El Reno,5,WNW,Canadian,35.54848,-98.03654,419,Central,STANDARD,0.08,0.459,0.011,2.3,1.34,0,16.3,60.9,22.8,Silt loam,-999,-999,-999,-999,0.05,0.403,0.061,1.49,1.47,0,11.6,59.8,28.6,Silty clay loam,0.069,0.405,0.146,1.23,1.62,0,9.2,47.7,43.2,Silty clay,0.104,0.509,0.146,1.33,-999,0,5.3,44.1,50.6,Silty clay,19940101,20991231
40,FTCB,Fort Cobb,Fort Cobb,4,NNW,Caddo,35.14887,-98.46607,422,Southwest,STANDARD,0.027,0.441,0.679,1.51,1.32,0,78.1,8.8,13.1,Sandy loam,-999,-999,-999,-999,0.045,0.436,0.504,1.38,1.4,0,73,5,22,Sandy clay loam,0.036,0.343,0.36,1.35,1.73,0,77.4,3.8,18.9,Sandy loam,0.027,0.286,0.337,1.33,1.93,0,79.3,6.9,13.8,Sandy loam,19940101,20991231
43,GUTH,Guthrie,Guthrie,4,WSW,Logan,35.84891,-97.47978,330,Central,STANDARD,0.04,0.354,0.113,1.36,1.65,0,47,28.4,24.6,Loam,-999,-999,-999,-999,0.056,0.378,0.081,1.32,1.67,0,19.7,44.6,35.7,Silty clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
45,HINT,Hinton,Hinton,7,W,Caddo,35.48439,-98.48151,493,Southwest,STANDARD,0.024,0.433,0.668,1.5,1.29,0,73,16.9,10,Sandy loam,-999,-999,-999,-999,0.03,0.426,0.651,1.56,1.35,0,75.5,12.5,11.9,Sandy loam,0.028,0.377,0.538,1.45,1.51,0,73,15,11.9,Sandy loam,0.024,0.335,0.387,1.38,1.67,0,75,15.6,9.4,Sandy loam,19940101,20991231
53,KETC,Ketchum Ranch,Velma,7,NW,Stephens,34.52887,-97.76484,341,South Central,STANDARD,0.043,0.397,0.072,1.45,1.45,0,44.2,33.3,22.6,Loam,-999,-999,-999,-999,0.06,0.425,0.069,1.4,1.46,0,34.9,29.1,36,Clay loam,0.061,0.411,0.069,1.23,1.66,0,20.5,27.4,52.1,Clay,0.053,0.384,0.045,1.3,1.71,0,37.2,19.6,43.1,Clay,19940101,20991231
59,MARE,Marena,Coyle,7,N,Payne,36.06434,-97.21271,327,Central,STANDARD,0.049,0.374,0.042,1.48,1.63,0,38.6,35.2,26.3,Loam,-999,-999,-999,-999,0.049,0.395,0.074,1.41,1.51,0,42.3,32,25.7,Loam,0.055,0.379,0.101,1.27,1.66,0,40.3,24.6,35.1,Clay loam,0.049,0.353,0.11,1.28,1.73,0,38,31,31,Clay loam,19940101,20991231
109,NINN,Ninnekah,Ninnekah,2,NNW,Grady,34.96774,-97.95202,356,Central,STANDARD,0.04,0.418,0.103,1.42,1.32,0,43.8,36.6,19.6,Loam,-999,-999,-999,-999,0.043,0.39,0.234,1.35,1.45,0,43.9,34,22.1,Loam,0.071,0.439,0.228,1.31,1.38,0,29.1,33.6,37.4,Clay loam,0.061,0.381,0.174,1.24,1.64,0,33.4,31.1,35.6,Clay loam,19940101,20171011
130,OKCE,Oklahoma City East,Oklahoma City,3,E,Oklahoma,35.47226,-97.46414,355,Central,STANDARD,0.037,0.383,0.161,1.38,1.46,0,37.3,37,25.7,Loam,-999,-999,-999,-999,0.027,0.422,0.554,1.41,1.39,0,76.2,8.8,15,Sandy loam,0.024,0.299,0.195,1.34,1.85,0,73.1,14.4,12.5,Sandy loam,0.024,0.372,0.546,1.45,1.56,0,83.7,7.5,8.8,Loamy sand,20070420,20991231
74,PAUL,Pauls Valley,Pauls Valley,1,SSW,Garvin,34.7155,-97.22924,291,South Central,STANDARD,0.028,0.401,0.169,1.39,1.27,0,23.3,60.4,16.3,Silt loam,-999,-999,-999,-999,0.036,0.413,0.244,1.37,1.27,0,19.5,58.9,21.6,Silt loam,0.041,0.386,0.099,1.42,1.45,0,19.2,57.5,23.3,Silt loam,0.056,0.387,0.046,1.44,1.63,0,18.3,53.2,28.5,Silty clay loam,19940101,20991231
76,PERK,Perkins,Perkins,2,NNW,Payne,35.99865,-97.04831,292,Central,STANDARD,0.021,0.432,0.328,1.35,1.17,0,43.3,40.9,15.8,Loam,-999,-999,-999,-999,0.035,0.354,0.155,1.37,1.58,0,39.2,37.4,23.4,Loam,0.057,0.376,0.218,1.29,1.58,0,34.9,37,28.1,Clay loam,0.05,0.368,0.052,1.38,1.69,0,38.6,30.7,30.7,Clay loam,19940101,20991231
84,SHAW,Shawnee,Shawnee,3,NNW,Pottawatomie,35.36492,-96.94822,328,Central,STANDARD,0.045,0.369,0.03,1.66,1.6,0,23.2,57.9,18.9,Silt loam,-999,-999,-999,-999,0.042,0.414,0.191,1.38,1.32,0,17.6,54.5,27.9,Silty clay loam,0.067,0.393,0.186,1.15,1.72,0,10.7,43.1,46.3,Silty clay,0.06,0.395,0.072,1.2,1.76,0,9.1,44.8,46.1,Silty clay,19940101,20991231
87,SPEN,Spencer,Spencer,2,ENE,Oklahoma,35.54208,-97.34146,373,Central,STANDARD,0.028,0.409,0.338,1.35,1.43,0,74.2,9.4,16.4,Sandy loam,-999,-999,-999,-999,0.05,0.365,0.067,1.25,1.76,0,39.8,19.2,41,Clay,0.048,0.357,0.123,1.25,1.75,0,56.6,7.7,35.7,Sandy clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
99,WASH,Washington,Washington,6,SSW,McClain,34.98224,-97.52109,345,Central,STANDARD,0.055,0.394,0.022,1.73,1.54,0,41.2,37.3,21.5,Loam,-999,-999,-999,-999,0.05,0.368,0.078,1.31,1.69,0,43.5,22.2,34.2,Clay loam,0.042,0.282,0.319,1.18,1.95,0,40.7,37.9,21.5,Loam,0.039,0.324,0.039,1.45,1.87,0,27,52.9,20.1,Silt loam,19940101,20991231
100,WATO,Watonga,Watonga,7,W,Blaine,35.84185,-98.52615,517,West Central,STANDARD,0.038,0.372,0.107,1.41,1.5,0,33.7,43.9,22.5,Loam,-999,-999,-999,-999,0.045,0.39,0.11,1.4,1.47,0,28.3,45.1,26.7,Loam,0.052,0.402,0.238,1.35,1.43,0,28.1,42.9,29,Clay loam,0.055,0.37,0.15,1.29,1.64,0,28.3,37.7,33.9,Clay loam,19940101,20991231
